control_id,process_id,control_name,control_type,key_control,frequency,owner_role
CTRL-001,PRC-01,미수금 연령분석 검토,적발통제,N,매월,IT담당자
CTRL-002,PRC-06,급여계산 검토 통제,예방통제,Y,매월,부서장
CTRL-003,PRC-05,계정대사 검토 통제,적발통제,N,분기,통제수행자
CTRL-004,PRC-04,재고조정 승인 통제,예방통제,N,분기,IT담당자
CTRL-005,PRC-04,창고접근권한 통제,예방통제,N,매일,통제수행자
CTRL-006,PRC-07,시스템 로그 모니터링 통제,예방통제,N,매월,프로세스담당자
CTRL-007,PRC-01,여신한도 관리 통제,적발통제,N,매월,IT담당자
CTRL-008,PRC-05,결산전표 승인 통제,예방통제,N,매월,프로세스담당자
CTRL-009,PRC-02,긴급구매 사후승인 통제,적발통제,N,매월,부서장
CTRL-010,PRC-01,매출채권 조회권한 검토,예방통제,Y,매월,부서장
CTRL-011,PRC-04,창고접근권한 통제 (2),예방통제,N,매주,통제수행자
CTRL-012,PRC-07,시스템 로그 모니터링 통제 (2),예방통제,Y,매월,프로세스담당자
CTRL-013,PRC-06,급여계산 검토 통제 (2),적발통제,N,매월,부서장
CTRL-014,PRC-06,채용 승인 통제,예방통제,Y,매일,재무담당자
CTRL-015,PRC-06,퇴직정산 검토 통제,예방통제,Y,매월,IT담당자
CTRL-016,PRC-06,근태시스템 접근권한 통제,적발통제,N,매월,프로세스담당자
CTRL-017,PRC-04,재고평가 검토 통제,적발통제,N,매일,통제수행자
CTRL-018,PRC-01,환불 승인 통제,적발통제,N,매월,프로세스담당자
CTRL-019,PRC-06,채용 승인 통제 (2),적발통제,N,분기,통제수행자
CTRL-020,PRC-04,장기체화재고 검토,예방통제,Y,연간,부서장
CTRL-021,PRC-04,재고실사 통제,예방통제,N,매월,부서장
CTRL-022,PRC-03,차입금 한도 관리 통제,적발통제,N,분기,프로세스담당자
CTRL-023,PRC-02,구매 마감 대사 통제,적발통제,N,매월,부서장
CTRL-024,PRC-07,권한자 계정 관리 통제,예방통제,Y,매월,프로세스담당자
CTRL-025,PRC-06,급여계산 검토 통제 (3),예방통제,Y,매월,통제수행자
CTRL-026,PRC-05,재무제표 검토 통제,적발통제,N,매월,프로세스담당자
CTRL-027,PRC-03,차입금 한도 관리 통제 (2),예방통제,N,매월,부서장
CTRL-028,PRC-06,채용 승인 통제 (3),예방통제,N,매월,IT담당자
CTRL-029,PRC-04,출고승인 통제,예방통제,N,매주,재무담당자
CTRL-030,PRC-04,창고접근권한 통제 (3),예방통제,N,매일,통제수행자
CTRL-031,PRC-04,출고승인 통제 (2),적발통제,Y,매월,재무담당자
CTRL-032,PRC-02,구매단가 검토 통제,적발통제,Y,매월,프로세스담당자
CTRL-033,PRC-01,신규 거래처 등록 승인,적발통제,Y,연간,IT담당자
CTRL-034,PRC-04,창고접근권한 통제 (4),예방통제,N,매월,통제수행자
CTRL-035,PRC-07,변경관리 승인 통제,적발통제,N,연간,재무담당자
CTRL-036,PRC-01,신규 거래처 등록 승인 (2),예방통제,Y,연간,통제수행자
CTRL-037,PRC-07,변경관리 승인 통제 (2),예방통제,N,연간,프로세스담당자
CTRL-038,PRC-06,급여계산 검토 통제 (4),적발통제,N,분기,재무담당자
CTRL-039,PRC-02,발주 승인 통제,예방통제,N,매월,부서장
CTRL-040,PRC-05,결산일정 준수 점검,예방통제,N,매주,통제수행자
CTRL-041,PRC-02,발주 승인 통제 (2),예방통제,Y,분기,재무담당자
CTRL-042,PRC-06,근태시스템 접근권한 통제 (2),예방통제,N,분기,프로세스담당자
CTRL-043,PRC-05,결산전표 승인 통제 (2),예방통제,N,연간,프로세스담당자
CTRL-044,PRC-03,자금인출 이중승인 통제,예방통제,Y,매주,부서장
CTRL-045,PRC-01,환불 승인 통제 (2),적발통제,Y,매월,프로세스담당자
CTRL-046,PRC-07,장애대응 절차 준수 점검,예방통제,Y,분기,IT담당자
CTRL-047,PRC-04,재고실사 통제 (2),적발통제,Y,매일,IT담당자
CTRL-048,PRC-07,권한자 계정 관리 통제 (2),예방통제,N,매월,재무담당자
CTRL-049,PRC-05,충당금 산정 검토,적발통제,Y,연간,IT담당자
CTRL-050,PRC-06,채용 승인 통제 (4),예방통제,N,매일,프로세스담당자
CTRL-051,PRC-06,퇴직정산 검토 통제 (2),예방통제,N,매월,프로세스담당자
CTRL-052,PRC-02,공급업체 등록 승인,적발통제,N,분기,재무담당자
CTRL-053,PRC-03,법인카드 사용승인 통제,예방통제,N,분기,프로세스담당자
CTRL-054,PRC-04,출고승인 통제 (3),예방통제,N,분기,통제수행자
CTRL-055,PRC-04,장기체화재고 검토 (2),예방통제,N,매월,IT담당자
CTRL-056,PRC-01,매출채권 조회권한 검토 (2),적발통제,N,매주,IT담당자
CTRL-057,PRC-04,재고평가 검토 통제 (2),적발통제,N,매일,통제수행자
CTRL-058,PRC-02,공급업체 평가 통제,예방통제,Y,분기,프로세스담당자
CTRL-059,PRC-06,인사발령 승인 통제,예방통제,N,매주,통제수행자
CTRL-060,PRC-05,결산전표 승인 통제 (3),예방통제,Y,매일,통제수행자
