deficiency_id,control_id,year,deficiency_type,root_cause,identified_date,status
DEF-0001,CTRL-001,2025,운영미비,수행절차 미정비,2025-10-31,해결
DEF-0002,CTRL-004,2025,운영미비,인력 부족,2025-11-18,미해결
DEF-0003,CTRL-004,2026,운영미비,수행절차 미정비,2026-10-20,미해결
DEF-0004,CTRL-011,2025,운영미비,시스템 오류,2025-12-17,해결
DEF-0005,CTRL-011,2026,운영미비,시스템 오류,2026-10-30,미해결
DEF-0006,CTRL-012,2025,운영미비,시스템 오류,2025-12-15,해결
DEF-0007,CTRL-012,2026,운영미비,시스템 오류,2026-11-15,해결
DEF-0008,CTRL-015,2025,운영미비,인력 부족,2025-10-07,미해결
DEF-0009,CTRL-016,2026,운영미비,시스템 오류,2026-11-11,해결
DEF-0010,CTRL-019,2025,운영미비,교육 부족,2025-10-18,미해결
DEF-0011,CTRL-029,2025,운영미비,교육 부족,2025-10-25,미해결
DEF-0012,CTRL-031,2026,운영미비,인력 부족,2026-11-22,미해결
DEF-0013,CTRL-033,2026,운영미비,모니터링 미흡,2026-10-14,미해결
DEF-0014,CTRL-035,2026,운영미비,인력 부족,2026-12-12,해결
DEF-0015,CTRL-037,2025,운영미비,시스템 오류,2025-11-30,해결
DEF-0016,CTRL-039,2025,운영미비,시스템 오류,2025-11-29,미해결
DEF-0017,CTRL-039,2026,운영미비,교육 부족,2026-11-08,미해결
DEF-0018,CTRL-050,2025,운영미비,수행절차 미정비,2025-12-22,미해결
DEF-0019,CTRL-050,2026,운영미비,모니터링 미흡,2026-12-10,해결
DEF-0020,CTRL-054,2026,운영미비,인력 부족,2026-10-22,미해결
DEF-0021,CTRL-056,2026,운영미비,수행절차 미정비,2026-11-29,미해결
DEF-0022,CTRL-060,2025,운영미비,수행절차 미정비,2025-11-19,미해결
DEF-0023,CTRL-060,2026,운영미비,교육 부족,2026-11-02,미해결
DEF-0024,CTRL-002,2025,설계미비,교육 부족,2025-03-27,해결
DEF-0025,CTRL-006,2026,설계미비,수행절차 미정비,2026-03-14,해결
DEF-0026,CTRL-007,2025,설계미비,모니터링 미흡,2025-02-08,해결
DEF-0027,CTRL-007,2026,설계미비,시스템 오류,2026-02-24,해결
DEF-0028,CTRL-008,2025,설계미비,수행절차 미정비,2025-04-03,해결
DEF-0029,CTRL-009,2025,설계미비,인력 부족,2025-03-18,해결
DEF-0030,CTRL-010,2026,설계미비,모니터링 미흡,2026-03-31,해결
DEF-0031,CTRL-015,2026,설계미비,시스템 오류,2026-03-24,미해결
DEF-0032,CTRL-017,2025,설계미비,인력 부족,2025-03-05,미해결
DEF-0033,CTRL-020,2025,설계미비,시스템 오류,2025-03-25,해결
DEF-0034,CTRL-022,2025,설계미비,시스템 오류,2025-02-14,미해결
DEF-0035,CTRL-023,2025,설계미비,교육 부족,2025-04-01,해결
DEF-0036,CTRL-024,2025,설계미비,교육 부족,2025-03-30,미해결
DEF-0037,CTRL-024,2026,설계미비,인력 부족,2026-02-18,미해결
DEF-0038,CTRL-028,2025,설계미비,인력 부족,2025-03-22,해결
DEF-0039,CTRL-029,2025,설계미비,시스템 오류,2025-03-21,미해결
DEF-0040,CTRL-031,2025,설계미비,교육 부족,2025-03-04,해결
DEF-0041,CTRL-032,2025,설계미비,교육 부족,2025-03-01,미해결
DEF-0042,CTRL-034,2026,설계미비,수행절차 미정비,2026-03-19,미해결
DEF-0043,CTRL-036,2025,설계미비,모니터링 미흡,2025-03-11,해결
DEF-0044,CTRL-041,2025,설계미비,수행절차 미정비,2025-03-11,미해결
DEF-0045,CTRL-043,2025,설계미비,시스템 오류,2025-04-01,해결
DEF-0046,CTRL-044,2025,설계미비,수행절차 미정비,2025-04-12,미해결
DEF-0047,CTRL-048,2025,설계미비,인력 부족,2025-02-18,미해결
DEF-0048,CTRL-051,2026,설계미비,시스템 오류,2026-02-19,해결
DEF-0049,CTRL-052,2025,설계미비,모니터링 미흡,2025-02-10,해결
DEF-0050,CTRL-052,2026,설계미비,교육 부족,2026-02-13,해결
DEF-0051,CTRL-053,2026,설계미비,교육 부족,2026-03-01,미해결
DEF-0052,CTRL-059,2026,설계미비,모니터링 미흡,2026-03-01,미해결
