assessment_id,control_id,year,assessment_result,assessment_date
DA-CTRL-001-2025,CTRL-001,2025,적정,2025-02-24
DA-CTRL-001-2026,CTRL-001,2026,적정,2026-03-16
DA-CTRL-002-2025,CTRL-002,2025,개선필요,2025-03-24
DA-CTRL-002-2026,CTRL-002,2026,적정,2026-03-02
DA-CTRL-003-2025,CTRL-003,2025,적정,2025-02-11
DA-CTRL-003-2026,CTRL-003,2026,적정,2026-03-10
DA-CTRL-004-2025,CTRL-004,2025,적정,2025-03-06
DA-CTRL-004-2026,CTRL-004,2026,적정,2026-02-01
DA-CTRL-005-2025,CTRL-005,2025,적정,2025-02-23
DA-CTRL-005-2026,CTRL-005,2026,적정,2026-02-06
DA-CTRL-006-2025,CTRL-006,2025,적정,2025-03-22
DA-CTRL-006-2026,CTRL-006,2026,개선필요,2026-03-13
DA-CTRL-007-2025,CTRL-007,2025,개선필요,2025-02-06
DA-CTRL-007-2026,CTRL-007,2026,개선필요,2026-02-15
DA-CTRL-008-2025,CTRL-008,2025,개선필요,2025-03-30
DA-CTRL-008-2026,CTRL-008,2026,적정,2026-03-10
DA-CTRL-009-2025,CTRL-009,2025,개선필요,2025-03-10
DA-CTRL-009-2026,CTRL-009,2026,적정,2026-03-21
DA-CTRL-010-2025,CTRL-010,2025,적정,2025-03-04
DA-CTRL-010-2026,CTRL-010,2026,개선필요,2026-03-22
DA-CTRL-011-2025,CTRL-011,2025,적정,2025-02-28
DA-CTRL-011-2026,CTRL-011,2026,적정,2026-02-15
DA-CTRL-012-2025,CTRL-012,2025,적정,2025-02-16
DA-CTRL-012-2026,CTRL-012,2026,적정,2026-02-10
DA-CTRL-013-2025,CTRL-013,2025,적정,2025-02-25
DA-CTRL-013-2026,CTRL-013,2026,적정,2026-03-02
DA-CTRL-014-2025,CTRL-014,2025,적정,2025-02-22
DA-CTRL-014-2026,CTRL-014,2026,적정,2026-02-11
DA-CTRL-015-2025,CTRL-015,2025,적정,2025-03-13
DA-CTRL-015-2026,CTRL-015,2026,개선필요,2026-03-12
DA-CTRL-016-2025,CTRL-016,2025,적정,2025-03-27
DA-CTRL-016-2026,CTRL-016,2026,적정,2026-02-28
DA-CTRL-017-2025,CTRL-017,2025,개선필요,2025-03-04
DA-CTRL-017-2026,CTRL-017,2026,적정,2026-02-12
DA-CTRL-018-2025,CTRL-018,2025,적정,2025-03-20
DA-CTRL-018-2026,CTRL-018,2026,적정,2026-02-05
DA-CTRL-019-2025,CTRL-019,2025,적정,2025-02-18
DA-CTRL-019-2026,CTRL-019,2026,적정,2026-03-08
DA-CTRL-020-2025,CTRL-020,2025,개선필요,2025-03-13
DA-CTRL-020-2026,CTRL-020,2026,적정,2026-03-29
DA-CTRL-021-2025,CTRL-021,2025,적정,2025-03-09
DA-CTRL-021-2026,CTRL-021,2026,적정,2026-03-07
DA-CTRL-022-2025,CTRL-022,2025,개선필요,2025-02-05
DA-CTRL-022-2026,CTRL-022,2026,적정,2026-03-29
DA-CTRL-023-2025,CTRL-023,2025,개선필요,2025-03-29
DA-CTRL-023-2026,CTRL-023,2026,적정,2026-02-27
DA-CTRL-024-2025,CTRL-024,2025,개선필요,2025-03-19
DA-CTRL-024-2026,CTRL-024,2026,개선필요,2026-02-06
DA-CTRL-025-2025,CTRL-025,2025,적정,2025-02-15
DA-CTRL-025-2026,CTRL-025,2026,적정,2026-03-03
DA-CTRL-026-2025,CTRL-026,2025,적정,2025-03-09
DA-CTRL-026-2026,CTRL-026,2026,적정,2026-02-01
DA-CTRL-027-2025,CTRL-027,2025,적정,2025-03-06
DA-CTRL-027-2026,CTRL-027,2026,적정,2026-03-15
DA-CTRL-028-2025,CTRL-028,2025,개선필요,2025-03-18
DA-CTRL-028-2026,CTRL-028,2026,적정,2026-02-14
DA-CTRL-029-2025,CTRL-029,2025,개선필요,2025-03-08
DA-CTRL-029-2026,CTRL-029,2026,적정,2026-03-19
DA-CTRL-030-2025,CTRL-030,2025,적정,2025-02-07
DA-CTRL-030-2026,CTRL-030,2026,적정,2026-03-15
DA-CTRL-031-2025,CTRL-031,2025,개선필요,2025-02-25
DA-CTRL-031-2026,CTRL-031,2026,적정,2026-03-16
DA-CTRL-032-2025,CTRL-032,2025,개선필요,2025-02-20
DA-CTRL-032-2026,CTRL-032,2026,적정,2026-03-10
DA-CTRL-033-2025,CTRL-033,2025,적정,2025-02-16
DA-CTRL-033-2026,CTRL-033,2026,적정,2026-02-19
DA-CTRL-034-2025,CTRL-034,2025,적정,2025-02-10
DA-CTRL-034-2026,CTRL-034,2026,개선필요,2026-03-05
DA-CTRL-035-2025,CTRL-035,2025,적정,2025-02-26
DA-CTRL-035-2026,CTRL-035,2026,적정,2026-02-11
DA-CTRL-036-2025,CTRL-036,2025,개선필요,2025-03-05
DA-CTRL-036-2026,CTRL-036,2026,적정,2026-03-09
DA-CTRL-037-2025,CTRL-037,2025,적정,2025-03-01
DA-CTRL-037-2026,CTRL-037,2026,미적용,2026-02-01
DA-CTRL-038-2025,CTRL-038,2025,미적용,2025-03-15
DA-CTRL-038-2026,CTRL-038,2026,적정,2026-02-16
DA-CTRL-039-2025,CTRL-039,2025,적정,2025-03-23
DA-CTRL-039-2026,CTRL-039,2026,적정,2026-03-01
DA-CTRL-040-2025,CTRL-040,2025,적정,2025-03-07
DA-CTRL-040-2026,CTRL-040,2026,적정,2026-02-06
DA-CTRL-041-2025,CTRL-041,2025,개선필요,2025-02-27
DA-CTRL-041-2026,CTRL-041,2026,적정,2026-03-30
DA-CTRL-042-2025,CTRL-042,2025,적정,2025-02-28
DA-CTRL-042-2026,CTRL-042,2026,적정,2026-03-03
DA-CTRL-043-2025,CTRL-043,2025,개선필요,2025-03-27
DA-CTRL-043-2026,CTRL-043,2026,적정,2026-02-24
DA-CTRL-044-2025,CTRL-044,2025,개선필요,2025-03-31
DA-CTRL-044-2026,CTRL-044,2026,적정,2026-03-18
DA-CTRL-045-2025,CTRL-045,2025,적정,2025-03-22
DA-CTRL-045-2026,CTRL-045,2026,미적용,2026-02-02
DA-CTRL-046-2025,CTRL-046,2025,적정,2025-03-12
DA-CTRL-046-2026,CTRL-046,2026,적정,2026-03-13
DA-CTRL-047-2025,CTRL-047,2025,적정,2025-03-25
DA-CTRL-047-2026,CTRL-047,2026,적정,2026-02-27
DA-CTRL-048-2025,CTRL-048,2025,개선필요,2025-02-09
DA-CTRL-048-2026,CTRL-048,2026,적정,2026-02-01
DA-CTRL-049-2025,CTRL-049,2025,적정,2025-03-26
DA-CTRL-049-2026,CTRL-049,2026,적정,2026-02-01
DA-CTRL-050-2025,CTRL-050,2025,적정,2025-02-01
DA-CTRL-050-2026,CTRL-050,2026,적정,2026-03-30
DA-CTRL-051-2025,CTRL-051,2025,적정,2025-03-20
DA-CTRL-051-2026,CTRL-051,2026,개선필요,2026-02-15
DA-CTRL-052-2025,CTRL-052,2025,개선필요,2025-02-04
DA-CTRL-052-2026,CTRL-052,2026,개선필요,2026-02-08
DA-CTRL-053-2025,CTRL-053,2025,적정,2025-03-18
DA-CTRL-053-2026,CTRL-053,2026,개선필요,2026-02-27
DA-CTRL-054-2025,CTRL-054,2025,적정,2025-02-03
DA-CTRL-054-2026,CTRL-054,2026,적정,2026-03-14
DA-CTRL-055-2025,CTRL-055,2025,적정,2025-03-02
DA-CTRL-055-2026,CTRL-055,2026,적정,2026-02-06
DA-CTRL-056-2025,CTRL-056,2025,적정,2025-03-23
DA-CTRL-056-2026,CTRL-056,2026,적정,2026-02-04
DA-CTRL-057-2025,CTRL-057,2025,적정,2025-02-12
DA-CTRL-057-2026,CTRL-057,2026,적정,2026-03-03
DA-CTRL-058-2025,CTRL-058,2025,적정,2025-03-30
DA-CTRL-058-2026,CTRL-058,2026,적정,2026-02-05
DA-CTRL-059-2025,CTRL-059,2025,적정,2025-03-09
DA-CTRL-059-2026,CTRL-059,2026,개선필요,2026-02-28
DA-CTRL-060-2025,CTRL-060,2025,적정,2025-03-14
DA-CTRL-060-2026,CTRL-060,2026,적정,2026-03-18
