assessment_id,control_id,year,assessment_result,evidence_status,assessment_date
OA-CTRL-001-2025,CTRL-001,2025,미흡,완료,2025-10-14
OA-CTRL-001-2026,CTRL-001,2026,적정,완료,2026-10-20
OA-CTRL-002-2025,CTRL-002,2025,적정,불완전,2025-11-18
OA-CTRL-002-2026,CTRL-002,2026,적정,완료,2026-11-01
OA-CTRL-003-2025,CTRL-003,2025,적정,불완전,2025-11-13
OA-CTRL-003-2026,CTRL-003,2026,적정,완료,2026-11-05
OA-CTRL-004-2025,CTRL-004,2025,미흡,완료,2025-11-08
OA-CTRL-004-2026,CTRL-004,2026,미흡,완료,2026-10-10
OA-CTRL-005-2025,CTRL-005,2025,적정,완료,2025-10-10
OA-CTRL-005-2026,CTRL-005,2026,적정,완료,2026-11-29
OA-CTRL-006-2025,CTRL-006,2025,적정,완료,2025-11-16
OA-CTRL-006-2026,CTRL-006,2026,적정,완료,2026-12-12
OA-CTRL-007-2025,CTRL-007,2025,적정,완료,2025-11-14
OA-CTRL-007-2026,CTRL-007,2026,적정,완료,2026-10-12
OA-CTRL-008-2025,CTRL-008,2025,적정,완료,2025-10-18
OA-CTRL-008-2026,CTRL-008,2026,적정,완료,2026-11-14
OA-CTRL-009-2025,CTRL-009,2025,적정,완료,2025-11-19
OA-CTRL-009-2026,CTRL-009,2026,적정,완료,2026-11-10
OA-CTRL-010-2025,CTRL-010,2025,적정,완료,2025-11-17
OA-CTRL-010-2026,CTRL-010,2026,적정,완료,2026-10-10
OA-CTRL-011-2025,CTRL-011,2025,미흡,완료,2025-12-10
OA-CTRL-011-2026,CTRL-011,2026,미흡,완료,2026-10-21
OA-CTRL-012-2025,CTRL-012,2025,미흡,완료,2025-11-30
OA-CTRL-012-2026,CTRL-012,2026,미흡,완료,2026-10-30
OA-CTRL-013-2025,CTRL-013,2025,적정,완료,2025-11-07
OA-CTRL-013-2026,CTRL-013,2026,적정,완료,2026-10-06
OA-CTRL-014-2025,CTRL-014,2025,적정,완료,2025-10-22
OA-CTRL-014-2026,CTRL-014,2026,적정,완료,2026-12-08
OA-CTRL-015-2025,CTRL-015,2025,미흡,완료,2025-10-02
OA-CTRL-015-2026,CTRL-015,2026,적정,완료,2026-10-19
OA-CTRL-016-2025,CTRL-016,2025,적정,불완전,2025-11-15
OA-CTRL-016-2026,CTRL-016,2026,미흡,완료,2026-11-04
OA-CTRL-017-2025,CTRL-017,2025,적정,완료,2025-11-28
OA-CTRL-017-2026,CTRL-017,2026,적정,완료,2026-12-10
OA-CTRL-018-2025,CTRL-018,2025,적정,완료,2025-11-18
OA-CTRL-018-2026,CTRL-018,2026,적정,완료,2026-11-24
OA-CTRL-019-2025,CTRL-019,2025,미흡,완료,2025-10-13
OA-CTRL-019-2026,CTRL-019,2026,적정,완료,2026-11-30
OA-CTRL-020-2025,CTRL-020,2025,적정,완료,2025-12-15
OA-CTRL-020-2026,CTRL-020,2026,적정,완료,2026-12-03
OA-CTRL-021-2025,CTRL-021,2025,적정,완료,2025-11-27
OA-CTRL-021-2026,CTRL-021,2026,적정,완료,2026-10-19
OA-CTRL-022-2025,CTRL-022,2025,적정,완료,2025-12-08
OA-CTRL-022-2026,CTRL-022,2026,적정,완료,2026-12-15
OA-CTRL-023-2025,CTRL-023,2025,적정,완료,2025-11-14
OA-CTRL-023-2026,CTRL-023,2026,적정,완료,2026-12-04
OA-CTRL-024-2025,CTRL-024,2025,적정,완료,2025-11-18
OA-CTRL-024-2026,CTRL-024,2026,적정,완료,2026-11-25
OA-CTRL-025-2025,CTRL-025,2025,적정,완료,2025-10-28
OA-CTRL-025-2026,CTRL-025,2026,적정,미제출,2026-11-10
OA-CTRL-026-2025,CTRL-026,2025,적정,미제출,2025-11-28
OA-CTRL-026-2026,CTRL-026,2026,적정,완료,2026-10-10
OA-CTRL-027-2025,CTRL-027,2025,적정,완료,2025-12-04
OA-CTRL-027-2026,CTRL-027,2026,적정,미제출,2026-10-02
OA-CTRL-028-2025,CTRL-028,2025,적정,완료,2025-10-31
OA-CTRL-028-2026,CTRL-028,2026,적정,완료,2026-10-25
OA-CTRL-029-2025,CTRL-029,2025,미흡,완료,2025-10-15
OA-CTRL-029-2026,CTRL-029,2026,적정,완료,2026-10-11
OA-CTRL-030-2025,CTRL-030,2025,적정,완료,2025-11-15
OA-CTRL-030-2026,CTRL-030,2026,적정,완료,2026-11-24
OA-CTRL-031-2025,CTRL-031,2025,적정,완료,2025-12-14
OA-CTRL-031-2026,CTRL-031,2026,미흡,불완전,2026-11-09
OA-CTRL-032-2025,CTRL-032,2025,적정,미제출,2025-11-24
OA-CTRL-032-2026,CTRL-032,2026,적정,완료,2026-11-08
OA-CTRL-033-2025,CTRL-033,2025,적정,완료,2025-11-25
