remediation_id,deficiency_id,action_status,target_date,completion_date
REM-0001,DEF-0001,완료,2025-12-31,2026-01-03
REM-0002,DEF-0002,진행중,2027-02-21,
REM-0003,DEF-0003,진행중,2027-01-21,
REM-0004,DEF-0004,완료,2026-01-27,2026-02-04
REM-0005,DEF-0005,진행중,2027-01-16,
REM-0006,DEF-0006,완료,2026-03-15,2026-03-18
REM-0007,DEF-0007,완료,2027-02-24,2026-12-31
REM-0008,DEF-0008,지연,2025-11-29,
REM-0009,DEF-0009,완료,2026-12-11,2026-12-10
REM-0010,DEF-0010,진행중,2027-01-29,
REM-0011,DEF-0011,지연,2025-12-05,
REM-0012,DEF-0012,지연,2026-12-15,
REM-0013,DEF-0013,진행중,2027-01-23,
REM-0014,DEF-0014,완료,2027-02-20,2026-12-31
REM-0015,DEF-0015,완료,2026-01-29,2026-01-31
REM-0016,DEF-0016,지연,2026-01-15,
REM-0017,DEF-0017,진행중,2027-01-17,
REM-0018,DEF-0018,지연,2026-02-10,
REM-0019,DEF-0019,완료,2027-03-05,2026-12-31
REM-0020,DEF-0020,진행중,2027-01-07,
REM-0021,DEF-0021,진행중,2027-02-02,
REM-0022,DEF-0022,진행중,2027-02-07,
REM-0023,DEF-0023,진행중,2027-02-04,
REM-0024,DEF-0024,완료,2025-07-23,2025-08-01
REM-0025,DEF-0025,완료,2026-05-29,2026-05-14
REM-0026,DEF-0026,완료,2025-05-20,2025-05-16
REM-0027,DEF-0027,완료,2026-05-01,2026-05-06
REM-0028,DEF-0028,완료,2025-07-22,2025-07-11
REM-0029,DEF-0029,완료,2025-06-17,2025-06-11
REM-0030,DEF-0030,완료,2026-07-25,2026-07-27
REM-0031,DEF-0031,지연,2026-05-10,
REM-0032,DEF-0032,지연,2025-04-25,
REM-0033,DEF-0033,완료,2025-05-13,2025-05-20
REM-0034,DEF-0034,지연,2025-05-21,
REM-0035,DEF-0035,완료,2025-06-07,2025-06-05
REM-0036,DEF-0036,진행중,2027-02-15,
REM-0037,DEF-0037,진행중,2027-02-07,
REM-0038,DEF-0038,완료,2025-06-30,2025-07-08
REM-0039,DEF-0039,지연,2025-07-06,
REM-0040,DEF-0040,완료,2025-06-13,2025-05-29
REM-0041,DEF-0041,진행중,2027-02-01,
REM-0042,DEF-0042,지연,2026-04-20,
REM-0043,DEF-0043,완료,2025-06-21,2025-06-24
REM-0044,DEF-0044,지연,2025-06-05,
REM-0045,DEF-0045,완료,2025-06-05,2025-05-30
REM-0046,DEF-0046,진행중,2027-01-29,
REM-0047,DEF-0047,진행중,2027-02-07,
REM-0048,DEF-0048,완료,2026-06-13,2026-05-30
REM-0049,DEF-0049,완료,2025-03-29,2025-03-23
REM-0050,DEF-0050,완료,2026-04-19,2026-04-12
REM-0051,DEF-0051,진행중,2027-01-12,
REM-0052,DEF-0052,지연,2026-04-30,
